crm_name,crm_address,crm_postcode,crm_city,siret_candidate,score,candidate_name,candidate_addr,candidate_city,candidate_postcode,candidate_insee,rank
Parcours,23 ROUTE DE GRENOBLE,69800,SAINT-PRIEST,82448653400012,0.5166923403739929,SEPE DE LA TETE DES BOUCS,97 ALLEE ALEXANDRE BORODINE,SAINT-PRIEST,69800,69290,4
Parcours,23 ROUTE DE GRENOBLE,69800,SAINT-PRIEST,38463859900017,0.4830932021141052,ASSOCIATION PARCOURS,RUE CLAUDE FARRERE,SAINT-PRIEST,69800,69290,5
Passman,4 rue Edouard Aynard,69100,VILLEURBANNE,40209172200056,0.9971261620521545,PASSMAN CARD PUBLINET,22 RUE RICHELIEU,VILLEURBANNE,69100,69266,1
Passman,4 rue Edouard Aynard,69100,VILLEURBANNE,95335826400034,0.9938046932220459,PASSMAN TOP,22 RUE RICHELIEU,VILLEURBANNE,69100,69266,2
Passman,4 rue Edouard Aynard,69100,VILLEURBANNE,84837128200031,0.991482138633728,PASSMAN CORP,22 RUE RICHELIEU,VILLEURBANNE,69100,69266,3
Passman,4 rue Edouard Aynard,69100,VILLEURBANNE,50259720600023,0.9797070026397705,HEC,4 RUE EDOUARD AYNARD,VILLEURBANNE,69100,69266,4
Passman,4 rue Edouard Aynard,69100,VILLEURBANNE,95356760900011,0.9788232445716858,MINPASS,4 RUE EDOUARD AYNARD,VILLEURBANNE,69100,69266,5
Pharmacie de la Place Ronde,58 Cours Richard Vitton,69003,LYON,43415372200013,0.9999022483825684,PHARMACIE DE LA PLACE RONDE,58 COURS RICHARD VITTON,LYON,69003,69383,1
Pharmacie de la Place Ronde,58 Cours Richard Vitton,69003,LYON,49091035300013,0.992649257183075,PLACE RONDE 06,58 COURS RICHARD VITTON,LYON,69003,69383,2
Pharmacie de la Place Ronde,58 Cours Richard Vitton,69003,LYON,84313026100020,0.9795636534690857,LA PHARMACIE LUDIQUE,200 RUE DE CREQUI,LYON,69003,69383,3
Pharmacie de la Place Ronde,58 Cours Richard Vitton,69003,LYON,44834311100010,0.92194002866745,GRANDE PHARMACIE DE MONTCHAT,42 COURS RICHARD VITTON,LYON,69003,69383,4
Pharmacie de la Place Ronde,58 Cours Richard Vitton,69003,LYON,75007239900017,0.8173508048057556,SYNDICAT DES INTERNES EN PHARMACIE HOPITAUX DE LYON,5 PLACE D'ARSONVAL,LYON,69003,69383,5
Philibert,24 Avenue Barthélémy Thimonnier,69300,CALUIRE-ET-CUIRE,34849151500014,0.9979881048202515,PHILIBERT HOLDING,26 AVENUE BARTHELEMY THIMONNIER,CALUIRE-ET-CUIRE,69300,69034,1
Philibert,4 rue de Lombardie,69800,SAINT-PRIEST,78848909400029,0.9902582168579102,PILICE,4 RUE DE LOMBARDIE,SAINT-PRIEST,69800,69290,1
Philibert,24 Avenue Barthélémy Thimonnier,69300,CALUIRE-ET-CUIRE,42888161900012,0.9974932670593262,PHILIBERT FOREZ,24 AVENUE BARTHELEMY THIMONNIER,CALUIRE-ET-CUIRE,69300,69034,2
Philibert,4 rue de Lombardie,69800,SAINT-PRIEST,21690290800013,0.7548686265945435,MAIRIE,PL CHARLES OTTINA,ST PRIEST,69800,69290,2
Philibert,24 Avenue Barthélémy Thimonnier,69300,CALUIRE-ET-CUIRE,76420098600025,0.99739670753479,PHILIBERT IMMOBILIER,24 AVENUE BARTHELEMY THIMONNIER,CALUIRE-ET-CUIRE,69300,69034,3
Philibert,4 rue de Lombardie,69800,SAINT-PRIEST,88046031600016,0.7502791881561279,CYCLES BLAIN SAINT PRIEST,218 ROUTE DE GRENOBLE,SAINT-PRIEST,69800,69290,3
Philibert,24 Avenue Barthélémy Thimonnier,69300,CALUIRE-ET-CUIRE,96150559100019,0.996829092502594,CARS PHILIBERT,24 AVENUE BARTHELEMY THIMONNIER,CALUIRE-ET-CUIRE,69300,69034,4
Philibert,4 rue de Lombardie,69800,SAINT-PRIEST,43931941900024,0.5113135576248169,ENTENTE CYCLISTE SAINT PRIEST,2 RUE DE LA CORDIERE,SAINT-PRIEST,69800,69290,4
