crm_name,crm_address,crm_postcode,crm_city,siret_candidate,score,candidate_name,candidate_addr,candidate_city,candidate_postcode,candidate_insee,candidate_state,candidate_last_treatment_date,rank,shap
AST DECINES,"35 rue Emile Zola, Rez-de-chaussée",69150,DECINES CHARPIEU,39254982000943,0.399109423160553,AST GROUPE,81 RUE ELISEE RECLUS,DECINES-CHARPIEU,69150,69275,OUVERT,2025-02-05 02:10:46,4,
AST DECINES,"35 rue Emile Zola, Rez-de-chaussée",69150,DECINES CHARPIEU,38044099000022,0.29016605019569397,G'MECA,125 RUE RASPAIL,DECINES-CHARPIEU,69150,69275,FERME,2025-02-01 02:49:03,5,
ATOUT GAZ,"89 Avenue des Bruyères, Bâtiment B",69150,DECINES CHARPIEU,53011730800029,0.9926294088363647,CLIM A LYON,89 AVENUE DES BRUYERES,DECINES-CHARPIEU,69150,69275,OUVERT,2025-02-13 02:28:28,1,
ATOUT GAZ,"89 Avenue des Bruyères, Bâtiment B",69150,DECINES CHARPIEU,80812847400018,0.9779217839241028,RG MAINTENANCE GAZ,48 RUE RASPAIL,DECINES CHARPIEU,69150,69275,FERME,2024-03-30 07:07:13,2,
ATOUT GAZ,"89 Avenue des Bruyères, Bâtiment B",69150,DECINES CHARPIEU,80812847400026,0.9711488485336304,RG MAINTENANCE GAZ,98 AVENUE EDOUARD HERRIOT,DECINES-CHARPIEU,69150,69275,OUVERT,2024-03-30 06:42:00,3,
ATOUT GAZ,"89 Avenue des Bruyères, Bâtiment B",69150,DECINES CHARPIEU,33139662200010,0.9563272595405579,PETROLE GAZ SERVICES,12 RUE CURIE,DECINES-CHARPIEU,69150,69275,FERME,2024-03-30 09:44:54,4,
ATOUT GAZ,"89 Avenue des Bruyères, Bâtiment B",69150,DECINES CHARPIEU,33139662200028,0.9467355608940125,PETROLE GAZ SERVICES,22 RUE DE LA REPUBLIQUE,DECINES-CHARPIEU,69150,69275,FERME,2024-03-30 09:44:54,5,
BAGTROTTER,20 Rue Paul et Marc Barbezat,69150,DECINES-CHARPIEU,38068469600095,0.9994392991065979,BAGTROTTER,20 RUE PAUL ET MARC BARBEZAT,DECINES-CHARPIEU,69150,69275,FERME,2024-03-30 10:44:13,1,
BAGTROTTER,20 Rue Paul et Marc Barbezat,69150,DECINES-CHARPIEU,84793578000019,0.9378796219825745,20 BARBEZAT,20 RUE PAUL ET MARC BARBEZAT,DECINES-CHARPIEU,69150,69275,FERME,2024-03-30 15:12:40,2,
BAGTROTTER,20 Rue Paul et Marc Barbezat,69150,DECINES-CHARPIEU,66595018400259,0.934287428855896,OUEST ISOL,20 RUE PAUL ET MARC BARBEZAT,DECINES-CHARPIEU,69150,69275,FERME,2025-01-27 02:24:51,3,
BAGTROTTER,20 Rue Paul et Marc Barbezat,69150,DECINES-CHARPIEU,39043942000089,0.8920670747756958,DEBEAUX,20 RUE PAUL ET MARC BARBEZAT,DECINES-CHARPIEU,69150,69275,FERME,2024-03-30 18:08:30,4,
BAGTROTTER,20 Rue Paul et Marc Barbezat,69150,DECINES-CHARPIEU,85120177200031,0.8882511854171753,SP COATING,20 RUE PAUL ET MARC BARBEZAT,DECINES-CHARPIEU,69150,69275,OUVERT,2024-03-30 00:01:31,5,
BLANC ROSSET LYON,5 Rue du Mont-Blanc,69960,CORBAS,30139418500047,0.999278724193573,LE PERE BLANC ALPES VOLAILLES,1 RUE DU MONT BLANC,CORBAS,69960,69273,FERME,2024-03-22 15:40:57,1,
BLANC ROSSET LYON,5 Rue du Mont-Blanc,69960,CORBAS,41196973600015,0.9897322058677673,WBD LYON,21 AVENUE DE MONTMARTIN,CORBAS,69960,69273,FERME,2024-03-30 02:28:56,2,
BLANC ROSSET LYON,5 Rue du Mont-Blanc,69960,CORBAS,40400979700055,0.9863716959953308,MAISON LANDRIER PERE BLANC,5 RUE DU MONT BLANC,CORBAS,69960,69273,OUVERT,2025-03-27 13:06:58,3,
BLANC ROSSET LYON,5 Rue du Mont-Blanc,69960,CORBAS,98401778000011,0.9617089033126831,MHT,5 RUE DU MONT BLANC,CORBAS,69960,69273,OUVERT,2024-04-10 10:50:58,4,
BLANC ROSSET LYON,5 Rue du Mont-Blanc,69960,CORBAS,50484013300012,0.9368676543235779,BLANC NOEL,21 ALLEE HELENE BOUCHER,CORBAS,69960,69273,OUVERT,2024-03-30 12:55:50,5,
BUFAB FRANCE,21 Avenue du 24 Août 1944,69960,CORBAS,35323743100088,0.9997510313987732,CHAPELLET,21 AVENUE DU 24 AOUT 1944,CORBAS,69960,69273,OUVERT,2025-07-08 17:47:37,1,
