crm_name,crm_address,crm_postcode,crm_city,siret_candidate,score,candidate_name,candidate_addr,candidate_city,candidate_postcode,candidate_insee,rank,shap
DGDDI LYON,12 AVENUE SIMONE VEIL,69150,DECINES CHARPIEU,44432008900022,0.9262685179710388,HOTEL ECLIPSE,25 AVENUE JEAN JAURES,DECINES-CHARPIEU,69150,69275,1,
DGDDI LYON,12 AVENUE SIMONE VEIL,69150,DECINES CHARPIEU,95752298000045,0.8944088816642761,CINE DIGITAL LYON,89 AVENUE DES BRUYERES,DECINES-CHARPIEU,69150,69275,2,
DGDDI LYON,12 AVENUE SIMONE VEIL,69150,DECINES CHARPIEU,83508352800025,0.8453285694122314,KOPSTER HOTEL,12 AVENUE SIMONE VEIL,DECINES-CHARPIEU,69150,69275,3,
DGDDI LYON,12 AVENUE SIMONE VEIL,69150,DECINES CHARPIEU,93362445400015,0.8005151748657227,UNION DES MOSQUEES DE DITIB LYON,72 RUE PAUL ET MARC BARBEZAT,DECINES-CHARPIEU,69150,69275,4,
DGDDI LYON,12 AVENUE SIMONE VEIL,69150,DECINES CHARPIEU,79382644700013,0.758739173412323,FONDS DE DOTATION FONDITIB LYON,72 RUE PAUL ET MARC BARBEZAT,DECINES-CHARPIEU,69150,69275,5,
DIATEX,8 Avenue de l’Industrie,69960,CORBAS,33999882500048,0.9994679093360901,DIATEX,8 AVENUE DE L'INDUSTRIE,CORBAS,69960,69273,1,
DIATEX,8 Avenue de l’Industrie,69960,CORBAS,43916488000023,0.9578269124031067,C B L F R,8 AVENUE DE L'INDUSTRIE,CORBAS,69960,69273,2,
DIATEX,8 Avenue de l’Industrie,69960,CORBAS,53278720700036,0.9308456778526306,T.G.E,8 AVENUE DE L'INDUSTRIE,CORBAS,69960,69273,3,
DIATEX,8 Avenue de l’Industrie,69960,CORBAS,43373617000054,0.8733362555503845,EIFFAGE INFRASTRUCTURES GESTION ET DEVELOPPEMENT,8 RUE DU DAUPHINE,CORBAS,69960,69273,4,
DIATEX,8 Avenue de l’Industrie,69960,CORBAS,84308328800020,0.8234021067619324,OUITRANS,8 AVENUE DE L'INDUSTRIE,CORBAS,69960,69273,5,
DOLONIS,42 Rue Vaucanson,69150,DECINES-CHARPIEU,42086307800036,0.9998751878738403,DOLONIS,42 RUE VAUCANSON,DECINES-CHARPIEU,69150,69275,1,
DOLONIS,42 Rue Vaucanson,69150,DECINES-CHARPIEU,48355837500026,0.9679673314094543,DIAKELYS,42 RUE VAUCANSON,DECINES-CHARPIEU,69150,69275,2,
DOLONIS,42 Rue Vaucanson,69150,DECINES-CHARPIEU,53271962200047,0.9328746795654297,BSPM,42 RUE VAUCANSON,DECINES-CHARPIEU,69150,69275,3,
DOLONIS,42 Rue Vaucanson,69150,DECINES-CHARPIEU,48784306200026,0.9137037396430969,CRAFS CENTRE REG AUX FORMATIONS SECURITE,42 RUE VAUCANSON,DECINES-CHARPIEU,69150,69275,4,
DOLONIS,42 Rue Vaucanson,69150,DECINES-CHARPIEU,82131322800032,0.9034484028816223,TRULLI,42 RUE VAUCANSON,DECINES-CHARPIEU,69150,69275,5,
DigitBoxing and coall,25 Avenue Beauregard,69150,DECINES-CHARPIEU,43136403300040,0.9951849579811096,MATOS 2 BOXE,25 AVENUE BEAUREGARD,DECINES-CHARPIEU,69150,69275,1,
DigitBoxing and coall,25 Avenue Beauregard,69150,DECINES-CHARPIEU,83119206700013,0.9680851697921753,ART METALLIQUE,25 AVENUE BEAUREGARD,DECINES-CHARPIEU,69150,69275,2,
DigitBoxing and coall,25 Avenue Beauregard,69150,DECINES-CHARPIEU,51891410600027,0.9457510113716125,BOXING CLUB DECINOIS,13 RUE MARCEL THERRAS,DECINES-CHARPIEU,69150,69275,3,
DigitBoxing and coall,25 Avenue Beauregard,69150,DECINES-CHARPIEU,83354823300034,0.878813624382019,H.ELEC,25 AVENUE BEAUREGARD,DECINES-CHARPIEU,69150,69275,4,
DigitBoxing and coall,25 Avenue Beauregard,69150,DECINES-CHARPIEU,92382340500017,0.8130465745925903,DBG,13 RUE MARCEL THERRAS,DECINES-CHARPIEU,69150,69275,5,
EASYDIS CORBAS,44 Boulevard des Nations,69960,CORBAS,38312387400497,0.9995386600494385,EASYDIS,BOULEVARD DES NATIONS,CORBAS,69960,69273,1,
EASYDIS CORBAS,44 Boulevard des Nations,69960,CORBAS,43316787100014,0.7254167795181274,ASS ENTENTE BADMINTON CORBAS,PL CHARLES JOCTEUR,CORBAS,69960,69273,2,
EASYDIS CORBAS,44 Boulevard des Nations,69960,CORBAS,82515263000034,0.5927456617355347,SPV PV 3,BOULEVARD DES NATIONS,CORBAS,69960,69273,3,
EASYDIS CORBAS,44 Boulevard des Nations,69960,CORBAS,63204104253861,0.4238864779472351,COMPASS GROUP FRANCE 0552,BOULEVARD DES NATIONS,CORBAS,69960,69273,4,
EASYDIS CORBAS,44 Boulevard des Nations,69960,CORBAS,21690273400013,0.4007677733898163,MAIRIE,PL CHARLES JOCTEUR,CORBAS,69960,69273,5,
EBERLE,20 BOULEVARD DES NATIONS,69960,CORBAS,44974369900026,0.9996517896652222,EBERLE FRANCE,20 BOULEVARD DES NATIONS,CORBAS,69960,69273,1,
EBERLE,20 BOULEVARD DES NATIONS,69960,CORBAS,21690273400013,0.9437351822853088,MAIRIE,PL CHARLES JOCTEUR,CORBAS,69960,69273,2,
EBERLE,20 BOULEVARD DES NATIONS,69960,CORBAS,41140300900011,0.6278366446495056,JOAN,AVENUE DE CORBETTA,CORBAS,69960,69273,3,
EBERLE,20 BOULEVARD DES NATIONS,69960,CORBAS,85175744300029,0.6267310380935669,IOZIA,26 BOULEVARD DES NATIONS,CORBAS,69960,69273,4,
EBERLE,20 BOULEVARD DES NATIONS,69960,CORBAS,38312387400497,0.6226516962051392,EASYDIS,BOULEVARD DES NATIONS,CORBAS,69960,69273,5,
ELLERS,29 Boulevard Charles de Gaulle,69150,DECINES-CHARPIEU,79446051900026,0.9999158382415771,ELLERS,29 BOULEVARD CHARLES DE GAULLE,DECINES-CHARPIEU,69150,69275,1,
ELLERS,29 Boulevard Charles de Gaulle,69150,DECINES-CHARPIEU,87973236000026,0.9985029697418213,ELLERS PROFILS,29 BOULEVARD CHARLES DE GAULLE,DECINES-CHARPIEU,69150,69275,2,
ELLERS,29 Boulevard Charles de Gaulle,69150,DECINES-CHARPIEU,90393967600016,0.9679700136184692,HACHOD,29 BOULEVARD CHARLES DE GAULLE,DECINES-CHARPIEU,69150,69275,3,
ELLERS,29 Boulevard Charles de Gaulle,69150,DECINES-CHARPIEU,40842073500024,0.859521210193634,INGAFO,CHE DU MAS SOUS RATTIER,DECINES-CHARPIEU,69150,69275,4,
ELLERS,29 Boulevard Charles de Gaulle,69150,DECINES-CHARPIEU,92116556900010,0.6543071269989014,SIRA ZZ,29 BOULEVARD CHARLES DE GAULLE,DECINES-CHARPIEU,69150,69275,5,
ERIKS N.V.,28 Rue Wilson,69150,DECINES CHARPIEU,37903755900091,0.9993441700935364,ERIKS,28 RUE WILSON,DECINES-CHARPIEU,69150,69275,1,
ERIKS N.V.,28 Rue Wilson,69150,DECINES CHARPIEU,31122396000064,0.9974014759063721,ERIKS FRANCE HOLDING,28 RUE WILSON,DECINES-CHARPIEU,69150,69275,2,
ERIKS N.V.,28 Rue Wilson,69150,DECINES CHARPIEU,44330413400044,0.9589117765426636,SUEZ RV REBOND INSERTION,28 RUE WILSON,DECINES-CHARPIEU,69150,69275,3,
ERIKS N.V.,28 Rue Wilson,69150,DECINES CHARPIEU,38458171600014,0.8095223903656006,R E V,28 RUE VAUCANSON,DECINES-CHARPIEU,69150,69275,4,
ERIKS N.V.,28 Rue Wilson,69150,DECINES CHARPIEU,81010047900015,0.6728205680847168,L.M.A,28 RUE CARNOT,DECINES-CHARPIEU,69150,69275,5,
EUROMASTER CORBAS,52 Rue Louis Pradel,69960,CORBAS,39252740400678,0.9990841150283813,EUROMASTER FRANCE,52 RUE LOUIS PRADEL,CORBAS,69960,69273,1,
EUROMASTER CORBAS,52 Rue Louis Pradel,69960,CORBAS,38445469001229,0.8218216300010681,EIS,13 IMPASSE DU 24 AOUT 1944,CORBAS,69960,69273,2,
EUROMASTER CORBAS,52 Rue Louis Pradel,69960,CORBAS,97890109800019,0.8193145990371704,EURO METAL,16 RUE DU VERCORS,CORBAS,69960,69273,3,
EUROMASTER CORBAS,52 Rue Louis Pradel,69960,CORBAS,79301916700048,0.3798803687095642,STAMPTECH INGENIERIE,50 RUE LOUIS PRADEL,CORBAS,69960,69273,4,
EUROMASTER CORBAS,52 Rue Louis Pradel,69960,CORBAS,87805985600020,0.2516058683395386,B.C.D.,40 ROUTE DE LYON,CORBAS,69960,69273,5,
FEDERAL EXPRESS CORBAS,83 RUE MARCEL MERIEUX,69960,CORBAS,97350535701885,0.997797966003418,TNT,83 RUE MARCEL MERIEUX,CORBAS,69960,69273,1,
FEDERAL EXPRESS CORBAS,83 RUE MARCEL MERIEUX,69960,CORBAS,94967077200019,0.97929847240448,VALMY PARTNERS,83 RUE MARCEL MERIEUX,CORBAS,69960,69273,2,
FEDERAL EXPRESS CORBAS,83 RUE MARCEL MERIEUX,69960,CORBAS,84298155700015,0.9727184176445007,NOVA EXPRESS,9 IMPASSE DU CHALET,CORBAS,69960,69273,3,
FEDERAL EXPRESS CORBAS,83 RUE MARCEL MERIEUX,69960,CORBAS,91417298600020,0.9695006012916565,VALMY,83 RUE MARCEL MERIEUX,CORBAS,69960,69273,4,
FEDERAL EXPRESS CORBAS,83 RUE MARCEL MERIEUX,69960,CORBAS,33001223800078,0.9694830179214478,FAREX DEVELOPPEMENT,83 RUE MARCEL MERIEUX,CORBAS,69960,69273,5,
FEMAT,28 RUE LOUIS PRADEL,69960,CORBAS,84287252500063,0.9992035031318665,FEMAT GROUPE,28 RUE LOUIS PRADEL,CORBAS,69960,69273,1,
FEMAT,28 RUE LOUIS PRADEL,69960,CORBAS,94089427200019,0.9915327429771423,FEMAT HOLDING,11 IMPASSE DU RHONE,CORBAS,69960,69273,2,
FEMAT,28 RUE LOUIS PRADEL,69960,CORBAS,80178728400042,0.8597926497459412,TECHLIFE,28 RUE LOUIS PRADEL,CORBAS,69960,69273,3,
FEMAT,28 RUE LOUIS PRADEL,69960,CORBAS,79945101800011,0.8168202042579651,S.M.D.B.,28 RUE LOUIS PRADEL,CORBAS,69960,69273,4,
FEMAT,28 RUE LOUIS PRADEL,69960,CORBAS,89779682700011,0.6260433197021484,MDC RENO,28 RUE LOUIS PRADEL,CORBAS,69960,69273,5,
FONTBONNE & FILS,57 Rue Émile Zola,69150,DECINES-CHARPIEU,96650042300035,0.9997566342353821,FONTBONNE ET FILS,57 RUE EMILE ZOLA,DECINES-CHARPIEU,69150,69275,1,
FONTBONNE & FILS,57 Rue Émile Zola,69150,DECINES-CHARPIEU,39756468300019,0.8992959260940552,BEN & FILS,RUE DE CATALOGNE,DECINES-CHARPIEU,69150,69275,2,
FONTBONNE & FILS,57 Rue Émile Zola,69150,DECINES-CHARPIEU,34929586500043,0.8912387490272522,NASARRE ET FILS,RUE PAUL ET MARC BARBEZAT,DECINES-CHARPIEU,69150,69275,3,
FONTBONNE & FILS,57 Rue Émile Zola,69150,DECINES-CHARPIEU,91098499600017,0.8734397292137146,FLTC,57 RUE EMILE ZOLA,DECINES-CHARPIEU,69150,69275,4,
FONTBONNE & FILS,57 Rue Émile Zola,69150,DECINES-CHARPIEU,43440957900019,0.8638443946838379,LES BRUYERES,57 RUE EMILE ZOLA,DECINES-CHARPIEU,69150,69275,5,
FOYER NOTRE DAME DES SANS ABRI DECINES CHARPIEU,51 Avenue Franklin Roosevelt,69150,DECINES-CHARPIEU,94273320500010,0.8524395823478699,EURO PARE BRISE + LYON,51 AVENUE FRANKLIN ROOSEVELT,DECINES-CHARPIEU,69150,69275,1,
FOYER NOTRE DAME DES SANS ABRI DECINES CHARPIEU,51 Avenue Franklin Roosevelt,69150,DECINES-CHARPIEU,81879433100012,0.7513113617897034,DECINES OLYMPIQUE HANDISPORT,51 RUE DANTON,DECINES-CHARPIEU,69150,69275,2,
FOYER NOTRE DAME DES SANS ABRI DECINES CHARPIEU,51 Avenue Franklin Roosevelt,69150,DECINES-CHARPIEU,44303932600022,0.7165942192077637,DITIB,127 AVENUE FRANKLIN ROOSEVELT,DECINES-CHARPIEU,69150,69275,3,
FOYER NOTRE DAME DES SANS ABRI DECINES CHARPIEU,51 Avenue Franklin Roosevelt,69150,DECINES-CHARPIEU,80067624900025,0.4208658039569855,A.B.I.,79 AVENUE FRANKLIN ROOSEVELT,DECINES-CHARPIEU,69150,69275,4,
FOYER NOTRE DAME DES SANS ABRI DECINES CHARPIEU,51 Avenue Franklin Roosevelt,69150,DECINES-CHARPIEU,40189798800010,0.37893375754356384,DIFFUPACK,205 AVENUE FRANKLIN ROOSEVELT,DECINES-CHARPIEU,69150,69275,5,
FRANCE VIANDES,30 Avenue du 24 Août 1944,69960,CORBAS,31563143200046,0.9998871088027954,FRANCE VIANDES,30 AVENUE DU 24 AOUT 1944,CORBAS,69960,69273,1,
FRANCE VIANDES,30 Avenue du 24 Août 1944,69960,CORBAS,81536371800017,0.9484540224075317,SR VIANDES,40 RUE DES IRIS,CORBAS,69960,69273,2,
