crm_name;crm_cp;crm_insee;crm_id;crm_commune;gt_siret;crm_adresse;SITE_CLI_COMMUNE;sirene_insee;sirene_cp;sirene_etat;loc_match_type
Département des Pyrénées Orientales - HDEP;66000;66136;FR040933;PERPIGNAN;22660001300016;24 QUAI SADI CARNOT;PERPIGNAN;66136;66000;A;insee
CC ROUSSILLON CONFLENT-MAISON DE JEUNESSE ILLE;66130;66088;;Ille-sur-Têt;24660041500102;3 Rue de Bourdeville;Ille-sur-Têt;66088;66130;A;insee
CAMPING FRONT DE MER;66700;66008;FR031668;ARGELES SUR MER;35378272500017;Prade Basse;ARGELES SUR MER;66008;66700;A;insee
OFFICE NOTARIALE GARRIGUE DENAMIEL;66150;66009;FR033642;ARLES SUR TECH;32348000400015;22 AVENUE ALZINE RODONE;ARLES SUR TECH;66009;66150;A;insee
ARGELES VACANCES;66700;66008;FR036434;Argelès-sur-Mer;43437389000012;14 Chemin de Neguebous;Argelès-sur-Mer;66008;66700;A;insee
LA CASTELLANE;66660;66148;FR031666;Port-Vendres;26660287900014;2 Avenue Castellane;Port-Vendres;66148;66660;A;insee
COM SALANQUE MEDITERRANNÉE;66530;66050;FR037474;CLAIRA;20007036500016;41 CHEMIN DU MAS BORDAS;CLAIRA;66050;66530;A;insee
EHPAD PRATS DE MOLLO;66230;66150;FR037746;PRATS DE MOLLO LA PRESTE;26660006300017;44 ROUTE DE LA PRESTE;PRATS DE MOLLO LA PRESTE;66150;66230;A;insee
SOC COOP AGRICOLE SUD ROUSSILLON;66750;66171;FR034256;Saint-Cyprien;40905449100017;Chapelle Romane Ste Etienne de Villerase;Saint-Cyprien;66171;66750;A;insee
MAIRIE DE CERET;66400;66049;FR035473;Céret;21660049400019;6 Boulevard Maréchal Joffre;Céret;66049;66400;A;insee
Communauté des communes du Vallespir;66400;66049;FR037264;Céret;24660037300087;2 Avenue du Vallespir;Céret;66049;66400;A;insee
MAIRIE DU BOULOU;66160;66024;FR037389;LE BOULOU;21660024700086;2 Avenue Leon Jean Gregory;LE BOULOU;66024;66160;A;insee
INTERMARCHE Argelès-sur-Mer;66700;66008;FR037496;Argelès-sur-Mer;75125449100028;61 Chemin de Palau;Argelès-sur-Mer;66008;66700;A;insee
Le PIC de L'OURS;66120;66124;FR030203;FONT ROMEU ODEILLO VIA;79352469500038;55 Avenue Emmanuel Brousse;FONT ROMEU ODEILLO VIA;66124;66120;A;insee
ENSTO INDUSTRIE;66170;66121;FR031172;NEFIACH;32791945200034;RTDE 916;NEFIACH;66121;66170;A;insee
CAMPING LA PLAGE;66700;66008;FR032468;ARGELES SUR MER;84203246800014;30 Avenue General de Gaulle;ARGELES SUR MER;66008;66700;A;insee
L'HOTEL DES ELMES;66650;66016;FR033456;Banyuls-sur-Mer;35110250400013;Avenue Alain Gerbault;Banyuls-sur-Mer;66016;66650;A;insee
La MELBA;66130;66023;FR037969;Bouleternère;77613541000012;8 Avenue Marechal Joffre;Bouleternère;66023;66130;A;insee
Maison NOVA;66190;66053;FR039583;COLLIOURE;95310736400010;33 Route du Pla de Las Fourques;COLLIOURE;66053;66190;A;insee
Le Beauséjour (FR-66);66700;66008;FR039665;ARGELES SUR MER;52909435100010;Camping Beausejour;ARGELES SUR MER;66008;66700;A;insee
CAMPING LE MEDITERRANEE;66700;66008;FR040514;ARGELES SUR MER;50301803800011;2 Chemin du Pas de las Baques;ARGELES SUR MER;66008;66700;A;insee
ESAT LES MICOCOULIERS - ECO PRESSING;66700;66008;FR030305;ARGELES SUR MER;38310801600064;Avenue de Hurth;ARGELES SUR MER;66008;66700;F;insee
FHAD Le Veinat  APAJH;66690;66196;FR030306;SOREDE;78457968201599;8 Rue du Veinat;SOREDE;66196;66690;A;insee
ESAT Les Micocouliers APAJH;66690;66196;FR030308;SOREDE;78457968201607;RUE DU STADE;SOREDE;66196;66690;F;insee
TRESSOL CHABRIER -R;66400;66160;FR030052;Reynès;34326067500065;La Cabanassa;Reynès;66160;66400;F;insee
Clinique Val Pyrène - MI;66120;66124;FR035282;FONT ROMEU ODEILLO VIA;39886165800027;51 Boulevard Francois Arago;FONT ROMEU ODEILLO VIA;66124;66120;A;insee
Clinique du Souffle La Solane - MQ;66340;66130;FR035284;OSSEJA;62420055600030;19 Rue des Casteillets;OSSEJA;66130;66340;A;insee
BOYER SA;82200;82112;FR036196;MOISSAC;38449107200078;100 Rue François Charmeux;MOISSAC;82112;82200;A;insee
SARL VAL FLEURI;82400;82186;FR039140;VALENCE;41921678300284;92 Avenue de Bordeaux;VALENCE;82186;82400;A;insee
Villeroy & Boch SAS;82400;82186;FR031234;VALENCE;84447912100015;375 Rue du 11 Novembre;VALENCE;82186;82400;A;insee
Action Service & Distributie B.V. Moissac;82200;82112;FR035322;MOISSAC;75330823807731;715 Route de la Mégère;MOISSAC;82112;82200;A;insee
COMMUNE DE CASTELSARRASIN;82100;82033;FR030322;Castelsarrasin;21820033500014;5 Place de la Liberté;Castelsarrasin;82033;82100;A;insee
COMMUNE DE CAUSSADE SERVICES TECHNIQUES;82300;82037;FR035054;CAUSSADE;21820037600018;42 Avenue de Saint-Cirq;CAUSSADE;82037;82300;A;insee
INCINERIS CASTELSARRASIN;82100;82033;FR035467;Castelsarrasin;80501895900132;4 Rue de la Mediterranee Zone Industrielle Barres 1;Castelsarrasin;82033;82100;A;insee
INTERSPORT France/BLACKSTORE CASTELSARRASIN 05225 000;82100;82033;FR040871;Castelsarrasin;78999310200035;ZI de l'Artel Est, Route de Moissac;Castelsarrasin;82033;82100;A;insee
XPO IT EUROPE LABE2;82370;82079;FR042108;LABASTIDE ST PIERRE;81353853500044;730 AVENUE  DES GRAVES;LABASTIDE ST PIERRE;82079;82370;A;insee
INTERSPORT CASTELSARRASIN 00225 000;82100;82033;;Castelsarrasin;52949618400019;ZAE de l'Artel;Castelsarrasin;82033;82100;A;insee
ADOMA_MONCLAR DE QUERCY;82230;82115;FR036478;Monclar-de-Quercy;78805803005817;2002 Route des Lials;Monclar-de-Quercy;82115;82230;A;insee
INTERMARCHE Moissac;82200;82112;FR042577;MOISSAC;75149519300029;805 Route de la Mégère;MOISSAC;82112;82200;A;insee
ALEXANDRA LASGUIGNES;82110;82094;FR033276;LAUZERTE;80392168300022;2 CHE DE RUPPE;LAUZERTE;82094;82110;A;insee
MONSIEUR PASCAL CHASSANT;82700;82125;FR040881;MONTECH;52407225300023;985 Avenue de Montauban;MONTECH;82125;82700;A;insee
SISA DE VALENCE D'AGEN;82400;82186;FR041949;VALENCE;83249767100012;Boulevard de Torsiac;VALENCE;82186;82400;A;insee
